subaward_amount,subaward_action_date_fiscal_year,subawardee_name,subawardee_business_types,subaward_description_list
87585,2018,STANLEY MACHINING & TOOL CORP.,"For-Profit Organization,Manufacturer of Goods,Woman-Owned Business",LithiumBatteries
87531,2018,"TRIUMPH ENGINEERED SOLUTIONS, INC.","Contracts and Grants,For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
86583,2021,"EAGLEPICHER TECHNOLOGIES, LLC","For-Profit Organization,Limited Liability Company,Manufacturer of Goods",FirmFixedPrice
85283,2017,HONEYWELL INTERNATIONAL INC.,"For-Profit Organization,Manufacturer of Goods",Couplers
84626,2018,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",GenStructuralAssys
84626,2018,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Other
84134,2018,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",Nuts
84129,2019,"CAMI RESEARCH, INC.","For-Profit Organization,Manufacturer of Goods",Couplers
83925,2018,STANLEY MACHINING & TOOL CORP.,"For-Profit Organization,Manufacturer of Goods,Woman-Owned Business",GenStructuralAssys
83236,2018,A. P. I. INCORPORATED,"For-Profit Organization,S Corporation,Veteran Owned Business",NRE-Other
83236,2018,A. P. I. INCORPORATED,"For-Profit Organization,S Corporation,Veteran Owned Business",Nuts
80144,2018,"MORGAN ADVANCED CERAMICS, INC","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
78934,2017,"TRI MODELS, INC.","For-Profit Organization,Manufacturer of Goods",EnvTestEq(Shock/etc)
78835,2018,"DYNETICS TECHNICAL SOLUTIONS, INC.",For-Profit Organization,NRE-Engineering
77000,2019,"ADVANCED MATERIALS TECHNOLOGIES, LLC","Contracts and Grants,For-Profit Organization,Limited Liability Company",Tech/EngServices
77000,2019,"ADVANCED MATERIALS TECHNOLOGIES, LLC","For-Profit Organization,Limited Liability Company",EnvTestEq(Shock/etc)
76973,2018,"RADIUS AEROSPACE, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Engineering
76973,2018,"RADIUS AEROSPACE, INC.","For-Profit Organization,Manufacturer of Goods",Tech/EngServices
76100,2018,"MORGAN ADVANCED CERAMICS, INC.","For-Profit Organization,Manufacturer of Goods",Encoders
75102,2018,"PCC STRUCTURALS, INC.","Contracts,For-Profit Organization,Manufacturer of Goods",NRE-Other
74020,2018,"INOVAR, INC.","For-Profit Organization,S Corporation",Encoders
73854,2018,CONCURRENT TECHNOLOGIES CORPORATION,Nonprofit Organization,NRE-Other
73308,2018,STANLEY MACHINING & TOOL CORP.,"For-Profit Organization,Manufacturer of Goods,Woman-Owned Business",FirmFixedPrice
73308,2018,STANLEY MACHINING & TOOL CORP.,"For-Profit Organization,Manufacturer of Goods,Woman-Owned Business",FirmFixedPrice
71967,2018,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
71967,2018,"LABARGE ACQUISITION COMPANY, INC.","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
70980,2018,"INOVAR, INC.","For-Profit Organization,S Corporation",FirmFixedPrice
70980,2018,"SPARTRONICS LOGAN, LLC","For-Profit Organization,S Corporation",MissileAntenna&Ped
70147,2018,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Engineering
70147,2018,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Other
69447,2018,CONCURRENT TECHNOLOGIES CORPORATION,Nonprofit Organization,MissileAntenna&Ped
69447,2018,CONCURRENT TECHNOLOGIES CORPORATION,Nonprofit Organization,NRE-Engineering
67722,2020,"VENTURA AEROSPACE, INC.","For-Profit Organization,S Corporation",NRE-Other
67722,2020,"VENTURA AEROSPACE, INC.","For-Profit Organization,S Corporation",FirmFixedPrice
67401,2018,"SPARTRONICS LOGAN, LLC","For-Profit Organization,S Corporation",GenStructuralAssys
67401,2018,"INOVAR, INC.","For-Profit Organization,S Corporation",GenStructuralAssys
66325,2018,"QUASONIX, LLC","For-Profit Organization,Manufacturer of Goods,S Corporation",FirmFixedPrice
66325,2018,"QUASONIX, LLC","For-Profit Organization,Manufacturer of Goods,S Corporation",FirmFixedPrice
66325,2018,"QUASONIX, LLC","For-Profit Organization,S Corporation",Chargers
66160,2018,ALLCOMP INC.,"Asian-Pacific American Owned,For-Profit Organization,Manufacturer of Goods,Minority-Owned business,Self-Certified Small Disadvantaged Business",LithiumBatteries
66160,2018,ALLCOMP INC.,"For-Profit Organization,Manufacturer of Goods,Self-Certified Small Disadvantaged Business",NRE-Other
64840,2018,STANLEY MACHINING & TOOL CORP.,"For-Profit Organization,Manufacturer of Goods,Woman-Owned Business",Chargers
64840,2018,STANLEY MACHINING & TOOL CORP.,"For-Profit Organization,Manufacturer of Goods,Woman-Owned Business",LithiumBatteries
64782,2018,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Other
64237,2019,"MICRO SYSTEMS, INC.","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
64237,2019,"MICRO SYSTEMS, INC.","For-Profit Organization,Manufacturer of Goods",Accelerometers
62645,2018,HONEYWELL INTERNATIONAL INC.,"For-Profit Organization,Manufacturer of Goods",Amplifiers
62645,2018,HONEYWELL INTERNATIONAL INC.,"For-Profit Organization,Manufacturer of Goods",Cable/CableAssyHV
61933,2017,"TRI MODELS, INC.","For-Profit Organization,Manufacturer of Goods",Non-complexMachined
60942,2019,ALLCOMP INC.,"Asian-Pacific American Owned,For-Profit Organization,Manufacturer of Goods,Minority-Owned business,Self-Certified Small Disadvantaged Business",Accelerometers
60076,2018,"DYNETICS TECHNICAL SOLUTIONS, INC.",For-Profit Organization,Amplifiers
59704,2018,"AZMARK AERO SYSTEMS, LLC","For-Profit Organization,Limited Liability Company",Cable/CableAssyHV
58266,2019,"TEVET, LLC","For-Profit Organization,Limited Liability Company,SBA Certified Hub Zone Firm,Service Disabled Veteran Owned,Veteran Owned Business",Non-complexMachined
58266,2019,"TEVET, LLC","For-Profit Organization,Limited Liability Company,SBA Certified Hub Zone Firm,Service Disabled Veteran Owned,Veteran Owned Business",FirmFixedPrice
58060,2018,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
58060,2018,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",Launchers&Cannisters
57400,2018,"ROCKWELL COLLINS, INC.","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
56889,2018,PRAXIS RESOURCES INC.,For-Profit Organization,Launchers&Cannisters
56889,2017,PRAXIS RESOURCES INC.,For-Profit Organization,FirmFixedPrice
56889,2018,PRAXIS RESOURCES INC.,For-Profit Organization,FirmFixedPrice
56006,2018,"INOVAR, INC.","For-Profit Organization,S Corporation",FirmFixedPrice
55915,2018,"DYNETICS TECHNICAL SOLUTIONS, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Other
55915,2018,"DYNETICS TECHNICAL SOLUTIONS, INC.","For-Profit Organization,Manufacturer of Goods",TitaniumPlate
54029,2019,"AZMARK AERO SYSTEMS, LLC","For-Profit Organization,Limited Liability Company",NRE-Other
54029,2019,"AZMARK AERO SYSTEMS, LLC","For-Profit Organization,Limited Liability Company",TitaniumPlate
53614,2018,"GLENAIR, INC.","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
53614,2018,"GLENAIR, INC.","For-Profit Organization,Manufacturer of Goods",MissileAntenna&Ped
53614,2018,"GLENAIR, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Other
50905,2018,STANLEY MACHINING & TOOL CORP.,"For-Profit Organization,Manufacturer of Goods,Woman-Owned Business",MissileAntenna&Ped
50905,2018,STANLEY MACHINING & TOOL CORP.,"For-Profit Organization,Manufacturer of Goods,Woman-Owned Business",NRE-Other
50371,2020,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
50371,2020,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
50055,2019,"PCB PIEZOTRONICS, INC.","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
50000,2017,COBHAM MISSION SYSTEMS ORCHARD PARK INC.,"For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",FirmFixedPrice
50000,2017,CARLETON TECHNOLOGIES INC,"For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",MajorAssemblies
50000,2017,COBHAM MISSION SYSTEMS ORCHARD PARK INC.,"For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",MajorAssemblies
49384,2018,AMRO FABRICATING CORPORATION,"For-Profit Organization,Manufacturer of Goods",MissileAntenna&Ped
49384,2018,AMRO FABRICATING CORPORATION,"For-Profit Organization,Manufacturer of Goods,SBA Certified Hub Zone Firm",MissileAntenna&Ped
49384,2018,AMRO FABRICATING CORPORATION,"For-Profit Organization,Manufacturer of Goods,SBA Certified Hub Zone Firm",FirmFixedPrice
49145,2021,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
47883,2019,ALLCOMP INC.,"For-Profit Organization,Manufacturer of Goods,Self-Certified Small Disadvantaged Business",TestEquipment
47883,2019,ALLCOMP INC.,"Asian-Pacific American Owned,For-Profit Organization,Manufacturer of Goods,Minority-Owned business,Self-Certified Small Disadvantaged Business",TestEquipment
47300,2018,"BADGER METER, INC.","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
47300,2018,"BADGER METER, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Other
47300,2018,"BADGER METER, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Other
46830,2019,EMOTEQ CORPORATION,For-Profit Organization,FirmFixedPrice
46830,2019,EMOTEQ CORPORATION,For-Profit Organization,Fasteners&Hardware
46830,2019,"GLOBE MOTORS, INC.","For-Profit Organization,Manufacturer of Goods",Fasteners&Hardware
46637,2019,ELEMENT MATERIALS TECHNOLOGY CINCINNATI INC.,"For-Profit Organization,Foreign Owned and Located",MajorAssemblies
46637,2019,ELEMENT MATERIALS TECHNOLOGY CINCINNATI INC.,"For-Profit Organization,Foreign Owned and Located",MajorAssemblies
46428,2021,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",Encoders
45100,2018,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.,"For-Profit Organization,Manufacturer of Goods",Encoders
45100,2018,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.,For-Profit Organization,AC-DCPowerSupplies
44273,2020,"VENTURA AEROSPACE, INC.","For-Profit Organization,S Corporation",Adaptors
44273,2020,"VENTURA AEROSPACE, INC.","For-Profit Organization,S Corporation",Backshells
42940,2019,"SPARTRONICS LOGAN, LLC","For-Profit Organization,S Corporation",CableAssy&HarnMulti
42463,2018,A. P. I. INCORPORATED,"For-Profit Organization,S Corporation,Veteran Owned Business",Chargers
41970,2018,STANLEY MACHINING & TOOL CORP.,"For-Profit Organization,Manufacturer of Goods,Woman-Owned Business",Custom-ComputerSW
41145,2016,"L3 TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",FilterPinConnector
41145,2016,"L3 TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",FlexAssy(w/Connect)
40618,2018,A. P. I. INCORPORATED,"For-Profit Organization,S Corporation,Veteran Owned Business",LithiumBatteries
40618,2018,A. P. I. INCORPORATED,"For-Profit Organization,S Corporation,Veteran Owned Business",Microprocessors
40261,2019,"PCB PIEZOTRONICS, INC.","For-Profit Organization,Manufacturer of Goods",AC-DCPowerSupplies
39096,2021,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",Adaptors
38762,2020,"CAID INDUSTRIES, INC","For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",Backshells
38762,2020,"CAID INDUSTRIES, INC","For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",CableAssy&HarnMulti
35300,2019,A. P. I. INCORPORATED,"For-Profit Organization,S Corporation,Veteran Owned Business",Chargers
34429,2019,PROMAT INC,"For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",Custom-ComputerSW
34429,2019,PROMAT INC,"For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",FilterPinConnector
33520,2019,"PCB PIEZOTRONICS, INC.","For-Profit Organization,Manufacturer of Goods",FlexAssy(w/Connect)
33313,2020,PRAXIS RESOURCES INC.,For-Profit Organization,LithiumBatteries
33313,2020,PRAXIS RESOURCES INC.,For-Profit Organization,Microprocessors
32304,2018,"HI-TECH MACHINING & ENGINEERING, L.L.C.","For-Profit Organization,Manufacturer of Goods,SBA Certified Hub Zone Firm",Amplifiers
32105,2019,"PARALLEL VENTURES, INC.","For-Profit Organization,Manufacturer of Goods,Woman-Owned Business",CableAssy&HarnMulti
31846,2020,"L3 TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Other
31846,2020,"L3 TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",CableAssy&HarnMulti
31661,2019,"PARALLEL VENTURES, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Other
31661,2019,"PARALLEL VENTURES, INC.","For-Profit Organization,Manufacturer of Goods,Woman-Owned Business",MajorAssemblies
31500,2018,A. P. I. INCORPORATED,"For-Profit Organization,S Corporation,Veteran Owned Business",MajorAssemblies
31500,2018,A. P. I. INCORPORATED,"For-Profit Organization,S Corporation,Veteran Owned Business",FirmFixedPrice
31429,2019,"DIVERSIFIED TECHNICAL SYSTEMS, INC.","For-Profit Organization,Manufacturer of Goods",Multi-FunctionAssys
31429,2019,"DIVERSIFIED TECHNICAL SYSTEMS, INC.","For-Profit Organization,Manufacturer of Goods,S Corporation",Multi-FunctionAssys
31004,2021,DYTRAN INSTRUMENTS INC.,"For-Profit Organization,Manufacturer of Goods,S Corporation",FirmFixedPrice
30940,2019,"CICOIL, LLC","For-Profit Organization,Limited Liability Company,Manufacturer of Goods",FirmFixedPrice
30940,2019,"CICOIL, LLC","For-Profit Organization,Limited Liability Company,Manufacturer of Goods",FirmFixedPrice
30325,2020,"VENTURA AEROSPACE, INC.","For-Profit Organization,S Corporation",FinsWings&Boattails
30325,2020,"VENTURA AEROSPACE, INC.","For-Profit Organization,S Corporation",FinsWings&Boattails
30322,2018,A. P. I. INCORPORATED,"For-Profit Organization,S Corporation,Veteran Owned Business",NRE-Engineering
30322,2018,A. P. I. INCORPORATED,"For-Profit Organization,S Corporation,Veteran Owned Business",Receivers
30322,2018,A. P. I. INCORPORATED,"For-Profit Organization,S Corporation,Veteran Owned Business",NRE-Engineering
30276,2019,SHELLI INDUSTRIES LLC,"For-Profit Organization,Limited Liability Company,Woman-Owned Business",Receivers
30198,2019,"EAGLEPICHER TECHNOLOGIES, LLC","For-Profit Organization,Limited Liability Company,Manufacturer of Goods",FirmFixedPrice
27515,2019,PROMAT INC,"Contracts and Grants,For-Profit Organization,Manufacturer of Goods",Time&Material
25579,2019,"NICOMATIC, L.P.","For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods,Self-Certified Small Disadvantaged Business",NRE-Other
25579,2019,"NICOMATIC, L.P.","For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods,Self-Certified Small Disadvantaged Business",NRE-Other
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,Encoders
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,Encoders
5700,F1TBPV,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON COMPANY,FirmFixedPrice
5700,F1TBPV,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON COMPANY,FirmFixedPrice
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,Fuselage
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,GenStructuralAssys
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,NRE-Other
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,Fuselage
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,GenStructuralAssys
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,NRE-Other
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON COMPANY,Time&Material
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,GenStructuralAssys
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,NRE-Engineering
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,GenStructuralAssys
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,NRE-Engineering
5700,F1TBPV,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON COMPANY,Time&Material
5700,F1TBPV,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON COMPANY,FirmFixedPrice
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON COMPANY,FirmFixedPrice
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,GenStructuralAssys
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,NRE-Other
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,GenStructuralAssys
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,NRE-Other
5700,F1TBPV,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON COMPANY,Time&Material
5700,F1TBPV,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON COMPANY,FirmFixedPrice
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,NRE-Engineering
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,NRE-Engineering
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,Testing(Non-Prod)
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,Testing(Non-Prod)
5700,F4FRQH,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON COMPANY,Time&Material
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,Tech/EngServices
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,Tech/EngServices
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON COMPANY,Time&Material
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,TestEquipment
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,TestEquipment
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,Composites
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,Composites
5700,F1TBPV,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON COMPANY,FirmFixedPrice
5700,F1TBPV,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON COMPANY,FirmFixedPrice
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON COMPANY,FirmFixedPrice
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON COMPANY,FirmFixedPrice
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,AlumInvestCasting
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,NRE-Engineering
97AE,HR0011,017-2020/2021-1319-000;057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;097-2018/2019-0400-000;097-2019/2020-0400-000;097-2020/2021-0400-000;097-2021/2022-0400-000,RAYTHEON TECHNOLOGIES CORPORATION,NRE-Other
